model,layer,layer_idx,tile,orig_m,orig_n,orig_k,m,n,k,config,sa_size,sparsity,orig_macs,eff_macs,mac_reduction,cycles,cpu_us,match,npu_us
alexnet,__module.features.6/aten::_convolution/Convolution,2,17,32,32,32,28,18,9,0,32,0.7979,65536,9072,0.8616,53,70.1,TRUE,0.757142857
alexnet,__module.features.6/aten::_convolution/Convolution,2,18,32,32,32,28,18,9,0,32,0.7979,65536,9072,0.8616,53,121.2,TRUE,0.757142857
alexnet,__module.features.6/aten::_convolution/Convolution,2,19,32,32,32,28,20,9,0,32,0.7891,65536,10080,0.8462,55,48.5,TRUE,0.785714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,20,32,32,32,28,21,9,0,32,0.7847,65536,10584,0.8385,56,49,TRUE,0.8
alexnet,__module.features.6/aten::_convolution/Convolution,2,21,32,32,32,28,17,9,0,32,0.8022,65536,8568,0.8693,52,107.5,TRUE,0.742857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,22,32,32,32,28,19,9,0,32,0.7935,65536,9576,0.8539,54,111.4,TRUE,0.771428571
alexnet,__module.features.6/aten::_convolution/Convolution,2,23,32,32,32,28,20,9,0,32,0.7891,65536,10080,0.8462,55,123.8,TRUE,0.785714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,24,32,32,32,28,13,9,0,32,0.8198,65536,6552,0.9,48,66.6,TRUE,0.685714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,25,32,32,32,18,16,9,0,32,0.8506,65536,5184,0.9209,41,47,TRUE,0.585714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,26,32,32,32,18,17,9,0,32,0.8462,65536,5508,0.916,42,60.9,TRUE,0.6
alexnet,__module.features.6/aten::_convolution/Convolution,2,27,32,32,32,18,17,9,0,32,0.8462,65536,5508,0.916,42,180.7,TRUE,0.6
alexnet,__module.features.6/aten::_convolution/Convolution,2,28,32,32,32,18,15,9,0,32,0.855,65536,4860,0.9258,40,176.3,TRUE,0.571428571
alexnet,__module.features.6/aten::_convolution/Convolution,2,29,32,32,32,18,18,9,0,32,0.8418,65536,5832,0.911,43,60.4,TRUE,0.614285714
alexnet,__module.features.6/aten::_convolution/Convolution,2,30,32,32,32,18,18,9,0,32,0.8418,65536,5832,0.911,43,50.2,TRUE,0.614285714
alexnet,__module.features.6/aten::_convolution/Convolution,2,31,32,32,32,18,20,9,0,32,0.833,65536,6480,0.9011,45,45.1,TRUE,0.642857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,32,32,32,32,18,21,9,0,32,0.8286,65536,6804,0.8962,46,41.2,TRUE,0.657142857
alexnet,__module.features.6/aten::_convolution/Convolution,2,33,32,32,32,18,17,9,0,32,0.8462,65536,5508,0.916,42,144.4,TRUE,0.6
alexnet,__module.features.6/aten::_convolution/Convolution,2,34,32,32,32,18,19,9,0,32,0.8374,65536,6156,0.9061,44,39.7,TRUE,0.628571429
alexnet,__module.features.6/aten::_convolution/Convolution,2,35,32,32,32,18,20,9,0,32,0.833,65536,6480,0.9011,45,60.1,TRUE,0.642857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,36,32,32,32,18,13,9,0,32,0.8638,65536,4212,0.9357,38,162.2,TRUE,0.542857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,37,32,32,32,10,16,6,1,16,0.9238,65536,1920,0.9707,30,70.8,TRUE,0.428571429
alexnet,__module.features.6/aten::_convolution/Convolution,2,38,32,32,32,10,17,6,0,32,0.9209,65536,2040,0.9689,31,48.8,TRUE,0.442857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,39,32,32,32,10,17,6,0,32,0.9209,65536,2040,0.9689,31,48.2,TRUE,0.442857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,40,32,32,32,10,15,6,1,16,0.9268,65536,1800,0.9725,29,48.6,TRUE,0.414285714
alexnet,__module.features.6/aten::_convolution/Convolution,2,41,32,32,32,10,18,6,0,32,0.918,65536,2160,0.967,32,57.2,TRUE,0.457142857
